job_title,job_link,description,company_name
Data Science Intern,https://www.indeed.com/rc/clk?jk=2e4e6428ded3499b&fccid=9d58b2ccf32109ad&vjs=3,"Job details
No matching job preferences
Pay
$23 - $32 an hour
Job Type
Full-time
Shift and Schedule
Monday to Friday
Position Overview:
Novelis manufacturing processes produce the operational run-time data for each coil across 15+ machine centers in various plant throughout the globe. To standardize Machine Learning models across various plants, we plan to build a Data Science platform with common set of libraries of routines. We also plan to build a common library of features used in our models allowing faster go-to-market of the new models.

The Data Science Intern will help develop routines using Object Oriented Python classes and methods.

This is a Fall internship from Monday, August 14th - Friday, November 10th. The hourly pay rate range is between $23 - $32.

Key Learnings:
The Data Science Intern will learn the existing models developed by the Digital group and will help standardize those using Pipelines.
The Data Science Intern will learn/understand the manufacturing process and understand common data manipulation tasks.
The Data Science Intern will understand software development lifecycle and work in a professional environment.
The Data Science Intern may help develop a library containing all the features currently engineered.
Responsibilities & Qualifications:
Qualifications
Either have completed Masters in Software Engineering/Data Science or currently enrolled in a program
A proficient understanding of Python based Object Oriented Programming
Experience with software and model engineering concepts such as versioning, model deployment and model retraining etc.
Hands on experience with such Python libraries as Scikit-Learn, Unittest and Pytest, Flask and MLFlow
Understanding of git workflow and CI/CD.
Experience in Collaborative and Iterative Development
Desire for continuous development and learning opportunities
Strong analytical, organizational, presentation, and time management skills
We as Novelis offer you:
Employment with the global pioneer for technology and sustainability in the future market of aluminum processing and recycling
Flexible working hours
Typical for our international corporate culture are open cooperation, short decision-making processes and the quick assumption of responsibility.
In addition, we specifically promote your professional and personal development within Novelis

Have we aroused your interest?

You can apply directly with your resume in less than 5 minutes via our career portal.

#LI-JK1
Location Profile:
Novelis’ Global Corporate Headquarters is located in the Buckhead neighborhood of Atlanta Georgia and employs approximately 250 people. It is co-located with Novelis’ North America regional office which employs approximately 225 people. Supporting its 24 operations worldwide Novelis’ corporate office is home to the executive leadership team and global functions that support the automotive beverage can and high-end specialties value streams. The City of Atlanta provides a diverse and family-friendly place to live with countless museums cultural organizations and educational institutions including the Georgia Aquarium Woodruff Arts Center CNN Center Georgia Tech and Mercedes-Benz Stadium. In the Atlanta area Novelis has strong community partnerships with Atlanta Habitat for Humanity GeorgiaFIRST and Agape Youth and Family Center in addition to many local museums and community groups. Novelis recognizes its talented and diverse workforce as a key competitive advantage. Novelis provides equal employment opportunities to all employees and applicants.All terms and conditions of employment at Novelis including recruiting hiring placement promotion termination layoffs recalls transfers leaves of absence compensation and training are without regard to race color religion age sex national origin disability status genetics protected veteran status sexual orientation gender identity or expression or any other characteristic protected by federal provincial or local laws.",Novelis Corporate HQ
Data Science Intern,https://www.indeed.com/rc/clk?jk=1c1fcd54c6e6c7a8&fccid=8ffc6bdfa5f7e3f6&vjs=3,"Job details
No matching job preferences
Pay
$21 an hour
Job Type
Part-time
Temporary
Internship
Shift and Schedule
Day shift
Monday to Friday
Description
Salary Range:
Full Pay Range is $15.84 - $22.96/hour
Pursuing Undergraduate Degree: $18.00/hour
Bachelor’s degree or higher: $21.00/hour.
One-year opportunity working 20-25 hours per week, Monday – Friday during regular business hours.

Expected Start Date: July 2023

Overview of SANDAG
We exist to maintain and improve the quality of life for everyone who calls this region home. The San Diego Association of Governments (SANDAG) is both a metropolitan planning organization and a council of governments, bringing together local decision-makers to develop solutions to regional issues including improving equity, transportation, air quality, clean energy, economic development, goods movement, public health, public safety, housing, and more.
Our current focus is to serve as a data driven agency, speeding up the delivery of exciting, large-scale infrastructure projects throughout the region. This includes building a new Central Mobility Hub to link transit connections, boosting cross-border travel between the U.S. and Mexico with a new, high-tech border crossing facility, and fortifying our coastal railway corridor against erosion. Other important SANDAG initiatives include administering the TransNet Program, disseminating critical economic and criminal justice data, providing a forum for housing needs, and offering funding and technical assistance to partner agencies.
Role
If you are a student or recent graduate, a paid internship at SANDAG may be a great way to launch your career! The agency is always working on interesting and challenging projects and
our managers are dedicated to sharing these experiences and mentoring the next generation of professionals in the industry. With the guidance and mentoring of senior staff, this position will provide a “hands-on” learning experience in the research/data profession. The experience is substantive. If selected for an internship, you would be fully integrated into your team and given project responsibilities that are both learning opportunities and a chance for you to contribute to the overall success of the agency.
The Data Science intern will contribute as a team member to the research, collection, and compilation of project and program data; ensure the accuracy of information; assist with the maintenance databases and documentation; assist in the collection and processing of data using a variety of software applications and programs.

Job Responsibilities
Contribute as a team member to the research, collection, and compilation of project and program data; ensure the accuracy of information; maintain databases and documentation.
Assist in the collection and processing of data using computer software, including developing and maintaining computerized databases, coding data for computer input, documenting computer data files, writing and running computer programs, and editing and correcting data files after identifying and resolving data inconsistencies.
Contribute to the preparation of reports, summaries, correspondence, and presentations.
Assist in various research, analysis, and technical duties related to the maintenance and improvement of complex models such as the land use forecast model used to support regional transportation planning.
Participate in quality assurance/quality control processes to improve data and model analytic qualities; participate in processes to improve model transparency.

Typical Qualifications
Undergraduate or Graduate level coursework in computer science, business analytics, data science, economics, statistics, or a related field.
Ability to conduct research, collection, compilation, and processing of project and program data.
Ability to ensure the accuracy of information and participate in the quality assurance and quality control processes.
Ability to contribute to the preparation of reports, summaries, correspondence, and presentations.
Advanced computer skills with MS Word, MS Excel, MS PowerPoint, and Internet research; experience with SQL, R, Python or Java, and concepts of query language are desirable.
Ability to maintain databases and documentation.
Ability to communicate with various audiences using interpersonal, written, and oral communication skills.
Excellent organizational skills, attention to detail, and ability to multitask and work on several projects simultaneously.
Demonstrated flexibility and willingness to perform a variety of tasks typical of an entry-level data analytics position.",San Diego Association of Governments
2023 Data Science Researcher Intern,https://www.indeed.com/rc/clk?jk=507c95fa76d09947&fccid=f98eb70205204fcf&vjs=3,"Job details
No matching job preferences
Pay
$55 - $63 an hour
Job Type
Internship
Lab Summary:
At North America Bixby Lab, we build core technologies and systems powering Bixby, a next-generation virtual personal assistant, brought to you by the team that created Siri. Bixby provides a truly open platform that lets any developer extend its knowledge and capabilities.
Position Summary:
During this internship we will explore goal and slot finding algorithms for the Bixby voice assistant. While we currently have a fast goal and slot finding algorithm, we would like to experiment with newer deep learned techniques and see if we can improve the accuracy while keeping the latency competitive. We will be to explore real time streaming and build ML models for online metrics. We will also identify new metrics and help improve the evaluation pipeline (metrics, training and test data, error analysis tools).
In this position, you will be part of the next generation Bixby team.
Required Skills:
PhD student studying Computer Science, Electrical Engineering
Passionate about writing production quality code
Knowledge in distributed compute/data processing technologies (eg: Apache Hadoop, Spark, Hive)
Curious learner that keeps up to date with ML technologies, ML frameworks and libraries (eg. Tensor Flow, Pytorch, scikit-learn)
Understanding of data structures, data modeling and software architectures
Knowledge of SQL and NoSQL databases and ELK stack
Knowledge or demo projects with Container technology and AWS services including S3, Amazon ECS or Google cloud
Experience in NLP, AI, Voice Assistants, Machine Learning

Our total rewards programs are designed to motivate and engage exceptional talent. The hourly pay rate range for roles at this level is listed below, but may be higher or lower in other states due to geographic differentials in the labor market. Within the hourly pay rate range, individual rates depend on a number of factors—including the role’s function and location as well as the individual’s knowledge, skills, experience, education and training. This is part of our comprehensive compensation package with annual bonus eligibility and generous benefits to help you live life well.
Hourly Pay Rate Range
$55—$63 USD
Additional Information
Essential Job Functions
This position will be performed in an office setting. The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, and frequently operate standard office equipment, such as telephones and computers.
Samsung Research America is committed to complying with all Federal, State and local laws related to the employment of qualified individuals with disabilities. If you are an individual with a disability and would like to request a reasonable accommodation as part of the employment selection process, please contact the recruiter or email SRA_HR@samsung.com.
Affirmative Action / Equal Opportunity
Samsung Research America is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, disability, or status as a protected veteran.
For more information regarding protection from discrimination under Federal law for applicants and employees, please refer to the links below.
Know Your Rights | Pay Transparency
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",Samsung Research America Internship
Business Intelligence Intern,https://www.indeed.com/rc/clk?jk=7a7f50b266e23b55&fccid=76ff29f644e8afc4&vjs=3,"Job details
No matching job preferences
Job Type
Internship
The Business Intelligence Team works with data from the source all the way to visualizations presented to business owners. We work with Engineering, Product, Marketing, Finance and Executive leadership to scope and define projects, load data from the source, transform the data and then create visualizations.
This position is remote but open to in-office/hybrid as well.
What You Will Own
Creating a detailed business analysis, outlining problems, opportunities, and solutions for key initiatives
Developing strategies for data acquisition
Designing dashboards and reporting
Collaborating with decision-makers from different functional areas (sales, marketing, finance, etc.) to determine current and future needs
Teach reporting and KPI best practices to the organization to enable greater self-sufficiency
Bridge the gap between business strategy and data architecture
Creating and transforming data based on specifications from stakeholders
What you will need to accomplish the job (minimum qualifications)
Ability to demonstrate experience and acumen in the following areas would be considered:
Information Technology
Data Analysis
Databases and SQL
Exposure with visual tools (Domo, Tableau, Looke)
Strong communication and presentation skills
Ability to guide an audience through clear, concise communication and decision making
Demonstrate creative problem solving and independently generate solutions using analytical skills and business knowledge
Thrive in a fast-paced environment that fosters change, creativity, and flexibility
Ability to learn and adapt quickly to varied requirements
What will make us love you (preferred qualifications)
Experience or exposure with Domo and/or Salesforce
Experience working with APIs
Familiar with web technologies (Javascript, Html, CSS), scripting and big data technologies (Java, Python, R, Spark, Big Query, etc.)
Experience defining scope and requirements for projects
Experience with statistical methodologies
Business data experience (Marketing, Sales, Finance, Operations, etc.)
Exposure to Data Science, Data Modeling and analytics
Weave is an equal opportunity employer that is committed to diversity and inclusion. We welcome anyone who is hungry to learn, problem-solve and progress regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, veteran status, or other applicable legally protected characteristics.
If you have a disability or special need that requires accommodation, please let us know.
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",Weave
Student Internship - Data Entry/Marketing,https://www.indeed.com/company/The-Latino-Media-Collaborative/jobs/Student-Intern-8b0e8d1a0f8473f0?fccid=749262652af6f00b&vjs=3,"Job details
No matching job preferences
Job Type
Internship
Shift and Schedule
Monday to Friday
Student Internship - Data Entry/Marketing
Background
The Latino Media Collaborative (LMC) is looking for a marketing intern to be a part of an amazing opportunity to assist in marketing operations & special projects. The intern will work with media industry leaders on marketing projects focused on expanding the reach and impact of Latino journalism in the LA metro region. The position will have flexible hours and can work virtually. This will serve as great experience for your resume, references, and or academic credits.
About the LMC
The Latino Media Collaborative (LMC) is a nonprofit focused on advancing an informed and highly engaged
Latino community through a thriving Latino media sector. Using a collaborative model with partner media outlets,
LMC provides multilingual media services; manages multi-platform outreach campaigns; and develops original content under its flagship initiative, CALÓ NEWS - a digital English language news site that reclaims our narrative and provides a perspective missing in mainstream discourse.
Ideal candidate will possess the following skills:
● Data entry work experience
● Experience with google workspace, Salesforce, and other data programs
● Marketing education or other relevant professional experience
● Familiarity with administrative duties
● Typing speed and accuracy
● Excellent knowledge of correct spelling, grammar and punctuation
● Attention to detail, with an ability to stay focused on assigned tasks
● Confidentiality
● Organization skills, strong communication skills
Responsibilities include:
● Assist in developing, and implementing, our database (Salesforce).
● Insert customer and account data by inputting text based and numerical information from source documents within time limits.
● Compile, verify accuracy and sort information according to priorities to prepare source data for computer entry.
● Review data for deficiencies or errors, correct any incompatibilities if possible and check output.
● Research and obtain further information for incomplete documents.
● Apply data program techniques and procedures.
● Generate reports, store completed work in designated locations and perform backup operations.
● Respond to queries for information and access relevant files.
● Comply with data integrity and security policies.
Compensation: Academic Credit Only
Please provide marketing education or professional experience to date.
Contact Sharon Guevara at sharon@latinomedia.org
Job Type: Internship
Schedule:
Monday to Friday
Experience:
google sheets: 1 year (Preferred)
Work Location: Remote
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",The Latino Media Collaborative
Data Engineer Intern - Remote within the Continental USA,https://www.indeed.com/rc/clk?jk=5826c78961afe4f9&fccid=4cf53d6a7eb5ef1b&vjs=3,"Job details
No matching job preferences
Job Type
Full-time
Shift and Schedule
Overtime
We are seeking a talented and motivated Data Engineer Intern to join our team and assist with the migration of the GameMath database to an Azure Databricks environment. As an intern, you will have the opportunity to work on a real-world data engineering project and gain hands-on experience in Azure Databricks and associated tools.

If you are a passionate and driven individual who is eager to gain practical experience in data engineering and contribute to a real-world project, we encourage you to apply. Join our team and be part of an exciting opportunity to work with cutting-edge technologies and make a significant impact on our data infrastructure.
What Will You Be Doing?
Apply schema and stored procedures (supplied by Data Engineering) to the Azure Databricks environment, making necessary changes if required.
Create and implement a process to extract data from SQLite database files and ingest it into the appropriate tables in the Azure Databricks environment.
Collaborate with the Data Engineering team to share your knowledge and the migration process.

Skills, Knowledge, & Expertise for the job:
Experience with or taking classes in Azure Databricks and associated tools such as Azure Data Factory is highly preferred.
Experience with or taking classes in Spark SQL.
Experience with or taking classes in Python.

Why Us?
Building on a solid culture and resounding positive feedback from Everi employees in 2021, Everi continued to receive recognition as a Top Workplace in 2022. Everi was recognized nationally as a Top Workplace 2022 USA and received a second regional award for its HQ in Las Vegas as a Nevada Top Workplace 2022. This most recent award brings Everi’s total number of Top Workplaces awards in 2021 and 2022 to a whopping 10 awards!!!!


Everi is committed to expanding its innovative and creative reach, building a culture based on the tenets of respect and transparency. We are proud to be the gaming industry’s single-source provider of financial technology, loyalty solutions, games, and intelligence solutions. Let’s Go!

The compensation for this role considers a wide range of factors, including but not limited to skill sets; experience and training; licensure and certifications; and other business and organizational needs. The disclosed range estimate has not been adjusted for the applicable geographic differential for the location at which the position may ultimately be filled. At Everi, it is not typical for all individuals to be hired at or near the end of the range; compensation decisions depend on each case’s facts and circumstances. A reasonable estimate of the current range is $ - $ per hour and is overtime eligible.

Everi is an Equal Opportunity Employer. All qualified applicants and employees will be afforded equal employment opportunities without discrimination because of race, creed, color, national origin, sex, age, disability, marital status, or any other characteristic or class protected by federal, state, or local law.

** For All External Staffing Agencies **

Everi does not accept unsolicited agency submittals. Please do not forward resumes to our Executive team, Management team, or any current Everi employee for review. Everi is not responsible for any fees related to unsolicited resumes.

#LI-AM1
#LI-Remote

About Everi
We believe in the values of Collaboration, Integrity, Inclusion, Excellence, and Fun!",Everi
"IT Intern, Data and Analytics",https://www.indeed.com/rc/clk?jk=5e55549e8ecdcba4&fccid=b4eace2ec282e0aa&vjs=3,"Job details
No matching job preferences
Pay
$21 - $25 an hour
Job Type
Internship
Shift and Schedule
Monday to Friday
OIA Global Since its founding in 1988, OIA Global has grown into a $1 billion world-class logistics and packaging company that employs over 1,200 professionals in 28 countries. Our knowledge, solution design experience, and installed infrastructure give our customers the confidence and capability to extend their supply chains from emerging production areas to key commercial markets.

The hiring rate for this position is $21.00 to $25.00 per hour
The actual pay may vary based on several factors, including professional experience, hiring location, skills, and competencies.

Summary:
OIA is looking to add an internship position that will focus on our data and analytics efforts within our Information Technology team. This intern will assist in analyzing large sets of data, creating visualizations, and presenting findings to various stakeholders.

Supervisory Responsibilities:
No

Duties and Responsibilities:

Collaborate with business and IT teams to gather, clean, and organize data from various sources
Use statistical analysis to identify trends and patterns in data
Build models and create visualizations using PowerBI
Assist in preparing reports and presentations to communicate findings with stakeholders
Support the team in conducting ad-hoc analyses and answering business questions with data
Continuously learn new data analytics skills and techniques
Other duties as assigned
Required Skills and Abilities:

Proficiency in Microsoft Office Suite (Excel, Word, Outlook, Teams, & PowerPoint)
Ability to maintain confidentiality of all aspects of job responsibilities
Familiarity with PowerBI
Ability to be receptive to guidance from manager and able to effectively communicate results to manager
Ability to be highly productive, both working alone and as part of a team
Ability to deal professionally in a corporate environment and assume responsibility for guiding projects and programs from inception through completion
Ability to work in a fast-paced, dynamic environment managing multiple priorities involving multiple entities
M-F business hours
Ability to Multi-Task and Adapt
Excellent Communication and People Skills
Education and Experience:

Currently pursuing a degree in Business, data analytics, statistics, or other applicable fields
Committed to learning and growth

OIA Global is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or disability. We offer an exciting and growth-oriented work environment, and OIA employees enjoy competitive salaries and excellent benefits.",OIA Global
Intern - Data Science,https://www.indeed.com/rc/clk?jk=3803b5fd9db9f082&fccid=ccfce62820936877&vjs=3,"Job details
No matching job preferences
Job Type
Internship
Overview:
Systems Planning and Analysis, Inc. (SPA) is a well-established, thriving professional services firm in the Washington DC Metro area with a long-standing reputation for unrivaled technical and analytical support to top decision makers across the Federal government. Our cadre of outstanding professionals conduct state of the art work and focus on delivering results that matter to national security.
SPA advises and assists the Defense Threat Reduction Agency (DTRA) on the development, test and fielding of leading edge technologies to counter weapons of mass destruction (WMD). DTRA delivers these game-changing technologies to warfighters across all Combatant Commands (CCMDs) including the United States Special Operations Command (USSOCOM). SPA provides expertise to deter, deny or defeat chemical, biological, radiological, nuclear and high-yield explosives (CBRNE) threats. SPA subject matter experts (SMEs) also advise on technologies designed to support threat understanding, detection, identification, and characterization; protection of military and civilian populations and consequence management. #CJ #I

This internship is primarily in office work, with some local travel and occasional telework allowed. Timeline for this job opportunity: We are currently accepting applications for this paid internship for the Summer of 2023.
23
Responsibilities:
We are seeking a smart, energetic, and dedicated individual who is either an advanced undergraduate (declared major) or actively pursuing a Masters or PhD degree in Data Science, Statistics, Mathematics, CS, or a related field to work alongside an SPA mentor in support of data development and analysis for DTRA Research & Development programs. The successful intern will be a quick learner and key contributor to analysis, projects, presentations and discussions.

Our office is located in Lorton, VA, convenient to our DTRA clients at Fort Belvoir.
Qualifications:
The ideal intern will:
Be enrolled in an Bachelors program in Data Science, Statistics, Mathematics, or related field.
Articulate a willingness to learn program/organizational processes and procedures.
Demonstrate creative thinking and strong problem solving skills.
Possess strong leadership, communications, and organizational skills.
Offer the ability to delve into technical details and translate those into findings and recommendations.
Must have an active Department of Defense (DoD) Secret security clearance to start and maintain it during the period of employment.","Systems Planning and Analysis, Inc."
Music Data Insights Intern,https://www.indeed.com/rc/clk?jk=34fea9547bd9f0eb&fccid=b1040218f114b603&vjs=3,"Job details
No matching job preferences
Pay
$16.04 an hour
Job Type
Internship
Overview:
CONCORD IS THE INDEPENDENT, WORLDWIDE LEADER IN THE DEVELOPMENT , MANAGEMENT AND ACQUISITION OF SOUND RECORDINGS, MUSIC PUBLISHING AND THEATRICAL PERFORMANCE RIGHTS, REPRESENTING NEARLY 900,000 SONGS, COMPOSED WORKS, PLAYS, MUSICALS AND ACTIVE RECORDINGS.

Headquartered in Nashville with additional offices in Los Angeles, New York, London, Berlin and Miami and staff in Toronto, Tokyo and Melbourne, Concord’s repertoire is licensed in virtually every country and territory worldwide.

Through using data, the Data Insights team develops new ways of tracking upcoming releases and optimizing business practices within Concord Label Group. The ideal candidate will have a keen eye for detail, an interest in an evolving musical landscape, and a passion for music discovery. They will be quick to notice patterns and trends in large data sets to use in driving insights and creating recommendations.

As the Music Business Insights Intern, you'll learn how to use data to scout and identify new artists and rising trends in the music industry. You will use popular research tools such as Chartmetric, SoundCharts, Music Connect, and Spotify for Artists to track and analyze talent. You will gain practical experience working closely with A&Rs across Concord’s diverse label roster, understanding how they scout and evaluate new talent. .

Our paid internship program will give you a unique opportunity to enhance your professional skillset, increase your knowledge of the industry, and expand your network. Our goal is to help you develop your talents as well as receive dedicated mentorship and support. Our Spring Internship Program will run from Tuesday, September 12th – Friday, November 17th and allows interns to work up to a maximum of 20 hours per week. This internship is a paid in-person opportunity and requires the ability to work in the specified office location.
Responsibilities:
What you'll do:
Assist creating and compiling weekly playlists for A&R based on data scraping conducted by the Data Insights Team.
Create one-sheets and presentations that highlight data points for the top-performing artists of the week.
Conduct market research on DSP viral charts to identify emerging genres and trends.
Manage a growing database of content creators, influencers, and artist managers.
Qualifications:
What you'll need:
Have an interest in entertainment intelligence, analytics, and music discovery
Passion and familiarity with Concord's roster
Extreme attention to detail
This internship is a part-time paid internship and requires someone located in/near Nashville
The timeline of this internship programs runs from Tuesday, September 12th – Friday, November 17th. You must be able to work 20 hours/week.

Salary range: $16.04 per hour

Concord is an equal opportunity employer. We employ, train, compensate and promote regardless of race, religion, color, national origin, sex, disability, age, veteran status, and other protected status as required by applicable law. We believe that diversity, inclusion and equity is paramount for the creation of music, theater and film that celebrates and empowers all cultures.","Concord Music Group, Inc."
"Skeo Intern Opportunity - Research, GIS, Data Entry/Analysis and Writing",https://www.indeed.com/rc/clk?jk=11c1c4227c8680aa&fccid=cc2469d6c3710b19&vjs=3,"Job details
No matching job preferences
Pay
$25 an hour
Job Type
Part-time
Internship
Skeo Solutions is an employee-focused consulting firm providing innovative, collaborative and multidisciplinary solutions to complex and pressing issues in environmental stewardship, social equity and economic opportunity.

Skeo seeks to provide up to two part-time intern job opportunities for motivated, energetic and earnest person(s) with an undergraduate degree or pursuing an undergraduate degree to join their team for the fall semester. Selected interns will be paid at the rate of $25 per hour. Interested candidates are eligible for consideration for a spring and summer internships, pending job availability, and performance.

Candidates should demonstrate they are detail-oriented, highly responsive and capable of supporting several projects at one time. Ideal candidates will have experience performing GIS-related tasks or have demonstrable expertise or skills related to researching and entering data. Interns should be receptive to receiving training that enables them to perform work required for this position. Interns will be asked to support a broad range of Skeo work, which may include (but is not limited to) GIS tasks, online research, writing, and data collection and analysis. Interns may work with several different managers, on different types of projects to develop their skill sets.

Required Qualifications:
•
Pursuing a bachelor's or master's degree in environmental sciences, GIS, economics, technical writing or related field.

•
GIS experience in the form of classwork and/or GIS-related projects and/or data entry expertise or experience.

•
Strong online research and writing skills.

•
Experience collecting and analyzing data or other information.

•
Proficiency with Microsoft Office programs.

•
Professional communication skills.

•
Ability to multi-task and work effectively on a team.

•
Willingness to work on multiple projects.

Preferred Qualifications:
•
Experience with graphic design and Adobe Creative Suite.

Please submit required application materials, which include a cover letter and resume, by Friday, July 14th, 2023, or until position is filled. Minorities are strongly encouraged to apply. Decisions will be made based on resumes, performance on exercises, and recommendations.

We recruit, employ, train and compensate regardless of sex, race, color, age, sexual orientation, gender identity (including gender nonconformity and status as transgender individual), religion, disability, marital status, pregnancy or maternity, citizenship, national origin, or any other status protected by applicable law.
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.",Skeo Solutions
